Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1.0,0.0,7.112700382534538e-05,0.036998964271612825,0.020980157125527123,0.00039950694174127415,1.0881179911225543e-05,8.548941187966038e-06,0.0039537477773973735,0.8312958435207823,0.0035596325484445104
1.0,0.0,0.00041675692558917064,0.03106340801515034,0.03216885217491768,0.0005675360062281043,1.3726259062325801e-05,8.32149313199814e-07,0.002849348956895314,0.8312958435207823,0.0035596325484445104
0.0,0.0,0.00015121517189408865,0.04092757143696586,0.012493501241984867,0.007025431425976386,7.247464784908022e-05,3.589842811059571e-06,0.008426563000430714,0.8457776941884521,0.0033028864355371433
0.0,0.0,1.150124033942646e-05,0.036827970257580264,0.017000823176015253,0.005241468794602309,0.00016661182818197647,8.147573012093372e-05,0.055838404364584135,0.8495392138423923,0.0029678110000478683
1.0,0.0,1.756790497180354e-05,0.03778061738072304,0.011571399688059618,0.0003913974309069677,1.3326949707785415e-05,8.459971546796265e-05,0.0045169911758534236,0.825841640022569,0.004077476403291573
1.0,0.0,8.34834663050402e-05,0.03748891018002094,0.03280067587083357,0.000984494615284806,1.9067021679303473e-05,1.0487273616736625e-05,0.007344252156338696,0.8348692871920255,0.003755455854899282
1.0,0.0,2.9944047919518644e-05,0.038804148044471035,0.022299405002599505,0.00044504995458673934,1.3426777046420511e-05,3.9063518527980294e-05,0.00443968325841828,0.8348692871920255,0.003755455854899282
1.0,0.0,1.788327882298096e-05,0.04366729073220722,0.017163942002195134,0.00014694433631763334,7.536964066949804e-06,7.378268784237298e-05,0.0016565982307530894,0.8348692871920255,0.003755455854899282
0.0,0.0,5.477070386069059e-05,0.008679408816185605,0.03588758592802265,0.00015161541455819383,0.00019531218803956678,7.008140461834922e-05,0.005267982373794825,0.7408312958435208,0.008046162080774938
1.0,0.0,0.00012174882780690548,0.03927941724712207,0.025148027265900295,0.0031882055274425848,2.835096417236747e-05,2.808846474302336e-06,0.017880216903928346,0.8346812112093286,0.0032158538548905783
1.0,0.0,1.714497968178252e-05,0.0016622637385190209,0.012211816186239965,0.009232515894641236,6.468811543554268e-05,6.955525971779697e-05,0.47536638430870154,0.8294150836938122,0.003720642822640656
1.0,0.0,1.5099694381679267e-05,0.000623242541500757,0.027703772167985675,0.004330284157259634,7.996169824671249e-05,0.00037898144111097394,0.6566644946823196,0.7470378032725221,0.008020052306580967
1.0,0.0,2.5236680980581217e-05,0.0004463802859821925,0.022719874646178733,0.0059333722589853385,7.242473417976268e-05,0.00011552077628149384,0.19233105459043368,0.7752492006770734,0.005839886161384515
1.0,0.0,2.667300471864644e-05,0.009960948615106699,0.018616775460689735,8.505254963020631e-05,5.390676286295223e-06,4.571431891152348e-05,0.0055882580317404215,0.8200112845589618,0.003973037306515694
0.0,0.0,8.676916007046588e-05,0.0372215504973409,0.025907659869447174,0.01166731542753341,0.00075085132754388,6.931228307969472e-06,0.06870465062343313,0.8476584540154223,0.0032158538548905783
0.0,0.0,0.00014740579348684524,0.03843793897707577,0.08783071457454798,0.005786103542234333,3.543870521545934e-05,1.6158859879807586e-06,0.02371144267617922,0.8546172653752115,0.0024847801774594324
0.0,0.0,0.00014600152359547618,0.047363866228324156,0.03427322222864075,0.04819255222524978,0.00024562516671165546,5.112557306234204e-06,0.2558892067103272,0.8367500470189957,0.003646665129091075
0.0,0.0,0.00012483501838409257,0.04464908416725162,0.06777338108717,0.0067983651226158045,3.923214408359302e-05,2.7047136294013716e-06,0.03350746021403249,0.8406996426556329,0.002946052854886227
1.0,0.0,6.947730226112889e-05,0.0390103489926384,0.023363035064409916,0.0008357986246269625,1.192936696689406e-05,3.822771543074887e-06,0.00963035771477796,0.8531126575136355,0.002554406241976684
1.0,0.0,4.452045738848912e-05,0.0377860973843996,0.011048610709953211,0.0012408849098222395,1.3826086400960899e-05,4.570883823547607e-06,0.00722276828608347,0.865337596388941,0.002449967145200806
0.0,0.0,1.888163373144075e-05,0.037146108546335,0.025712697128993125,0.0002581419488776437,7.487050397632255e-06,2.789116040531627e-05,0.005323202314819928,0.8382546548805716,0.003089656612953059
1.0,0.0,3.929143576973868e-05,0.03793697019178928,0.021487782334931548,0.0005391202802646944,1.2328676321434447e-05,1.5436324087556158e-05,0.006692656852242481,0.8262177919879632,0.0034856548548949304
1.0,0.0,2.845643599743909e-05,0.011516740075957155,0.018387152677488302,0.0002356948228882834,8.086014429442836e-06,2.3123885690069478e-05,0.003191712591250952,0.8262177919879632,0.0034856548548949304
1.0,0.0,6.0519043455948334e-05,0.009088112505153276,0.025590664895153374,0.00014104061243025822,6.089467656740901e-06,8.863166614684738e-06,0.001557202336907904,0.8262177919879632,0.0034856548548949304
0.0,0.0,0.0029721113546481983,0.033894932349714066,0.048767402229796086,0.0161716621253406,0.00020674241831328534,1.6807406545418857e-07,0.10977724275790472,0.7586985141997368,0.006401246306554859
1.0,0.0,0.00016489142591850448,0.037736527352492485,0.024576136560568423,0.0005561178149734009,1.4325223094136383e-05,1.7026633587315625e-06,0.0037880879543220644,0.8375023509497836,0.0031288212742440133
1.0,0.0,3.657769537262837e-05,0.037888997045823256,0.015306019294090464,0.000606396782146101,1.3476690715738058e-05,1.5249981101943903e-05,0.003114404673815808,0.8472823020500281,0.0032115022258582503
