koi_pdisposition,koi_fpflag_nt,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_slogg,koi_srad
1.0000000001,1e-10,7.112710382534537e-05,-3.2968653566860486,-3.8641781819749963,-7.825279166527119,1.0881279911225544e-05,8.549041187966038e-06,-5.5330913202026375,-0.1847695383123006,0.0035596326484445104
1.0000000001,1e-10,0.0004167570255891706,-3.471724740457243,-3.4367566152430586,-7.4742061873231584,1.3726359062325801e-05,8.32249313199814e-07,-5.860664711878442,-0.1847695383123006,0.0035596326484445104
1e-10,1e-10,0.00015121527189408866,-3.19595132234247,-4.38254666250613,-4.9582186384636495,7.247474784908021e-05,3.5899428110595707e-06,-4.7763662887441045,-0.1674987266153968,0.0033028865355371434
1e-10,1e-10,1.150134033942646e-05,-3.301497658444983,-4.074493508097621,-5.2511534965350615,0.00016661192818197648,8.147583012093372e-05,-2.88529339427822,-0.1630611777320235,0.0029678111000478683
1.0000000001,1e-10,1.756800497180354e-05,-3.275959072925793,-4.459218760819744,-7.845786811384568,1.3327049707785415e-05,8.459981546796264e-05,-5.399909153714364,-0.1913522428215326,0.0040774765032915725
1.0000000001,1e-10,8.348356630504019e-05,-3.2837101156073967,-3.4173061549375214,-6.923382027817423,1.9067121679303473e-05,1.0487373616736625e-05,-4.913837277623851,-0.18048010855052415,0.003755455954899282
1.0000000001,1e-10,2.9944147919518644e-05,-3.2492281271275014,-3.803195277885377,-7.717323799906293,1.3426877046420511e-05,3.9063618527980294e-05,-5.417172220752646,-0.18048010855052415,0.003755455954899282
1.0000000001,1e-10,1.788337882298096e-05,-3.1311559506839104,-4.064944485070204,-8.82545602687337,7.537064066949804e-06,7.378278784237297e-05,-6.402988977434876,-0.18048010855052415,0.003755455954899282
1e-10,1e-10,5.477080386069059e-05,-4.746801849842239,-3.3273638363794116,-8.794162751217893,0.00019531228803956678,7.008150461834922e-05,-5.246107822024855,-0.29998235039844906,0.008046162180774937
1.0000000001,1e-10,0.00012174892780690547,-3.237054628927626,-3.6829758202680107,-5.748297019681728,2.835106417236747e-05,2.808946474302336e-06,-4.024060372625388,-0.18070540989199302,0.0032158539548905784
1.0000000001,1e-10,1.714507968178252e-05,-6.399574847543243,-4.405351247930494,-4.685023678811086,6.468821543554267e-05,6.955535971779697e-05,-0.7436694366766488,-0.18703454494288,0.003720642922640656
